,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
616,Semarang,1850000000.0,5,135,158,110.4229104,-6.9903987999999995
618,Pedurungan,395000000.0,2,45,72,110.4738378,-7.0027211
619,Meteseh,150000000.0,2,27,60,110.46683,-7.0627334
620,Pedurungan,360000000.0,2,55,85,110.47735690000002,-7.0176717
621,Gunungpati,295000000.0,2,36,120,110.3545706,-7.092623700000001
622,Manyaran,385000000.0,2,60,65,110.3854405,-7.0027694
623,Semarang,2000000000.0,2,180,200,110.4229104,-6.9903987999999995
625,Manyaran,1350000000.0,3,80,150,110.3854405,-7.0027694
628,Gajahmungkur,660000000.0,2,45,87,110.41821085,-7.016690199999998
629,Tembalang,1300000000.0,4,102,135,110.45952907126915,-7.04583375
630,Gunungpati,895000000.0,2,48,120,110.3545706,-7.092623700000001
631,Banyumanik,1349000000.0,3,150,96,110.42012735052951,-7.06802325
632,Semarang,470000000.0,2,45,90,110.4229104,-6.9903987999999995
633,Semarang,189000000.0,2,30,60,110.4229104,-6.9903987999999995
634,Banyumanik,650000000.0,2,54,90,110.42012735052951,-7.06802325
635,Semarang,1700000000.0,2,74,121,110.4229104,-6.9903987999999995
636,Panggung,650000000.0,3,120,120,110.4050445,-6.958015299999999
637,Banyumanik,950000000.0,3,70,100,110.42012735052951,-7.06802325
639,Sambiroto,1200000000.0,3,126,126,110.45565500000001,-7.0324677
640,Plamongansari,1200000000.0,4,100,168,110.48603882799999,-7.0240899500000005
641,Pedurungan,1000000000.0,3,160,160,110.47735690000002,-7.0176717
644,Semarang,1800000000.0,2,111,115,110.4229104,-6.9903987999999995
646,Ngemplak,1050100000.0,3,69,72,110.39130136522728,-7.0045617500000015
647,Pedurungan,1000000000.0,6,300,220,110.4738378,-7.0027211
648,Tembalang,900000000.0,2,48,130,110.45952907126915,-7.04583375
649,Tlogosari,430000000.0,2,45,125,110.4706497,-6.9874018
653,Kedungmundu,495000000.0,3,60,120,110.46755300000001,-7.020575900000001
659,Tembalang,635000000.0,2,38,1,110.45952907126915,-7.04583375
661,Pedurungan,325000000.0,2,36,65,110.4738378,-7.0027211
662,Tembalang,190000008.0,2,42,60,110.45952907126915,-7.04583375
663,Tembalang,252000000.0,2,30,60,110.45952907126915,-7.04583375
665,Semarang,320000000.0,2,36,72,110.4229104,-6.9903987999999995
666,Pedurungan,549000000.0,3,110,60,110.4738378,-7.0027211
667,Tlogomulyo,435000000.0,2,45,84,110.48109050000001,-6.9942871
670,Genuk,900000000.0,5,140,217,110.47772717287395,-6.9655030500000015
671,Jangli,4200000000.0,3,184,220,110.43926040000001,-7.0304178
672,Banyumanik,623000000.0,2,60,97,110.42012735052951,-7.06802325
676,Tlogosari,470000000.0,2,50,80,110.4706497,-6.9874018
677,Pedurungan,600000000.0,3,72,102,110.4738378,-7.0027211
678,Semarang,600000000.0,2,100,100,110.4229104,-6.9903987999999995
680,Banyumanik,795000000.0,5,240,120,110.42012735052951,-7.06802325
681,Banyumanik,841000000.0,3,65,149,110.42012735052951,-7.06802325
682,Semarang,900000000.0,3,120,120,110.4229104,-6.9903987999999995
683,Genuk,300250000.0,2,45,72,110.47772717287395,-6.9655030500000015
685,Banyumanik,775000000.0,2,100,117,110.42012735052951,-7.06802325
687,Tembalang,1500000000.0,3,160,90,110.45952907126915,-7.04583375
688,Semarang,795000000.0,2,55,105,110.4229104,-6.9903987999999995
689,Tlogosari,650000000.0,2,85,103,110.4595685,-6.9839788
690,Sampangan,485000000.0,2,38,138,110.391791,-7.011075099999999
692,Banyumanik,1500000000.0,1,200,147,110.42012735052951,-7.06802325
694,Banyumanik,1700000000.0,4,120,148,110.42012735052951,-7.06802325
695,Semarang,650000000.0,3,110,120,110.4229104,-6.9903987999999995
696,Semarang,418000000.0,2,45,77,110.4229104,-6.9903987999999995
697,Banyumanik,189000000.0,2,30,60,110.42012735052951,-7.06802325
698,Ngaliyan,1100000000.0,3,110,150,110.32811600554784,-6.99605755
699,Ngaliyan,700000000.0,2,100,120,110.32811600554784,-6.99605755
700,Banyumanik,850000000.0,3,70,100,110.42012735052951,-7.06802325
702,Sampangan,2500000000.0,3,180,180,110.391791,-7.011075099999999
703,Banyumanik,1200000000.0,3,100,180,110.42012735052951,-7.06802325
704,Pedurungan,610000000.0,2,50,95,110.4738378,-7.0027211
705,Pedurungan,724000000.0,3,72,75,110.4738378,-7.0027211
706,Jatingaleh,670000000.0,2,45,89,110.423676,-7.0255334000000005
707,Tembalang,540000000.0,3,120,90,110.45952907126915,-7.04583375
709,Semarang,950000000.0,2,168,168,110.4229104,-6.9903987999999995
711,Semarang,2000000000.0,3,202,128,110.4229104,-6.9903987999999995
712,Tembalang,586000000.0,2,70,88,110.45952907126915,-7.04583375
713,Semarang,425000000.0,2,45,81,110.4229104,-6.9903987999999995
714,Tembalang,1025000000.0,2,120,150,110.45952907126915,-7.04583375
715,Semarang,1625000000.0,4,250,240,110.4229104,-6.9903987999999995
717,Plamongansari,525000000.0,2,122,122,110.48603882799999,-7.0240899500000005
718,Meteseh,150000000.0,2,27,60,110.46683,-7.0627334
720,Sampangan,485000000.0,2,38,138,110.391791,-7.011075099999999
721,Tlogosari,650000000.0,2,85,103,110.4595685,-6.9839788
723,Pedurungan,395000000.0,2,45,72,110.4738378,-7.0027211
727,Jangli,2000000000.0,2,90,144,110.43926040000001,-7.0304178
728,Tembalang,302000000.0,2,36,80,110.45952907126915,-7.04583375
729,Semarang,303000000.0,2,36,72,110.4229104,-6.9903987999999995
730,Semarang,305000000.0,2,36,72,110.4229104,-6.9903987999999995
731,Semarang,320000000.0,2,36,78,110.4229104,-6.9903987999999995
732,Semarang,550000000.0,2,36,90,110.4229104,-6.9903987999999995
733,Semarang,470000000.0,2,36,73,110.4229104,-6.9903987999999995
734,Semarang,750000000.0,2,51,96,110.4229104,-6.9903987999999995
735,Semarang,700000000.0,1,125,149,110.4229104,-6.9903987999999995
736,Banyumanik,365000000.0,3,36,36,110.42012735052951,-7.06802325
